"Link,","FullName,","Position,","Country,","Organization,","Social,",Contacts
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM5MDg=,Sam Randall,CEO & Founder,United Arab Emirates,Numuun.io,"",numuun.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM2NDg=,Bahaa Ebeidy,Co Founder & CEO,Egypt,Egypt Go Green Network,https://www.linkedin.com/in/https://www.linkedin.com/in/bahaazeinebeidy########https://www.facebook.com/https://www.facebook.com/egyptgogreen?mibextid=LQQJ4d########https://instagram.com/https://www.facebook.com/egyptgogreen?mibextid=LQQJ4d,https://www.egyptgogreen.org
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM2MTk=,Gurpreet Singh,Founder & CEO,United Arab Emirates,3rd Eye Consulting LLC,"",https://3rdeye.ae/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM1MTA=,Hassan Ikram,Founder,Saudi Arabia,ThriftPlan,########,https://www.thriftplan.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM1MDg=,Mohammed Olwan,Co-founder,Saudi Arabia,Fastech,no data,Fastech.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI4OTA=,Reem Ikram,Co-Founder and Chief Executive Officer,Saudi Arabia,ThriftPlan,no data,http://www.thriftplan.sa/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI4NzU=,Ronak Meghani,Co-Founder,India,magneto it solutions,no data,https://magnetoitsolutions.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI4NjI=,Nasser Alharthi,Founder & CEO,Saudi Arabia,Pieship,"",https://www.pieship.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI4NDg=,Mohamad Issa,Co-founder & Chief Executive Officer.,United Arab Emirates,Cash My Stock,no data,https://cashmystock.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI4MDk=,Ahmed Samman,Founder,Saudi Arabia,ZEED LIVE,no data,www.zeedlive.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3OTA=,Aisha Alsaggaf,Founder,Saudi Arabia,AVA (A Virtual Advantage for IT Est.),no data,http://ava.com.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3NzY=,Ahmed Alsaleh,Founder,Saudi Arabia,Virtual Twins SA,no data,www.vr-twins.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3NjI=,Meshari Alghamdi,Co-founder,Saudi Arabia,Njadwil,no data,https://linktr.ee/Njadwil
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3NDg=,Ali Alnabi,Co-founder,Saudi Arabia,OneMile,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3MzM=,Ahmed Saber,Founder,Egypt,Deqa.Ai,no data,https://deqa.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3MzA=,Keivin Isufaj,"Cofounder, CEO",Qatar,Pronto,no data,https://pronto.qa/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3Mjk=,Majed Ali Abudiyyah,Founder,Saudi Arabia,digitalmovesa,no data,digitlamovesa.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3Mjg=,Amine Berraoui,Co-Founder,Saudi Arabia,Behja,no data,www.behja.co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3MTA=,Mohammed Aljamhor,Founder,Saudi Arabia,COMVERSE,no data,https://comverse.ai/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3MDc=,Ahmed Elmotaz,Founder & COO,United States,Aliph Pay,no data,https://aliph.vc/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3MDY=,Hamza Jalal,Founder & CEO,Pakistan,Shop and Retail Online - SARO,########,https://shoparonline.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI3MDQ=,Wasiq Waheed,Founder,Saudi Arabia,Etaps,########,www.etaps.me
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2NjU=,Ahmad Alturki,Founder,Saudi Arabia,Karam AI,no data,https://karamai.co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2NTg=,Aashish Pandav,"Founder, CEO",United Arab Emirates,Feddi,"",https://www.feddi.io/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2MzY=,Varun Nankani,Founders Office,no data,Veefin Solutions,no data,https://www.veefin.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2Mjk=,Youssuf Fayez,CEO/Co-Founder,Saudi Arabia,WheeKeep,no data,www.wheekeep.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2Mjc=,Firas Abdulwahed,Founder,United Arab Emirates,Sanoflow,no data,https://sanoflow.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2MjQ=,Hatim Lokhandwala,Co-Founder & CEO,United Arab Emirates,Klickr Technologies Co LLC,no data,https://klickr.pro/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2MDg=,Osama Abdelhadi,Co-Founder & CEO,United Arab Emirates,Mawsool International,no data,mawsool.tech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI1OTY=,Adeel Mankee,Co-founder & CEO,Pakistan,Data Pilot Pvt. Ltd,no data,www.data-pilot.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI1ODk=,Noura Alkahtani,Cofounder,Saudi Arabia,SAAF (Line) - Fintech صف للتقنية المالية,no data,https://www.lab9-23.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI1Nzg=,Saeed Alqarni,Founder,Saudi Arabia,Waslah,no data,https://waslah-tech.sa/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI1NzE=,Waleed Talat,Cofounder & CEO,Saudi Arabia,ARIB,no data,https://arib.com.sa/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzU1OTI=,Sandeep Golechha,Founder and Chief Consultant,United Kingdom,Oomero Ltd,"",http://Oomero.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzODczMjM=,Hassan Alsaggaf,Co-Founder,Saudi Arabia,AVA (A Virtual Advantage for IT Est.),no data,https://www.ava.com.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzODY5NDI=,Reda Reda,Founder & COO,Saudi Arabia,AmwalTech,no data,https://www.amwal.tech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNDUyMjA=,Akif Mohsin,Co-founder & CEO,United Arab Emirates,TotalPay,########,www.totalpay.global
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNDQ2NjY=,Mutaz Altuwaijri,Founder,Saudi Arabia,Mshrai,no data,https://apps.apple.com/app/id6553995179
